alg,instance,rep,time,iterations,value
BI,ta003,43,0.000229,NA,455
BI,ta003,44,9.2e-5,NA,455
BI,ta003,45,6.9e-5,NA,455
BI,ta003,46,7.5e-5,NA,455
BI,ta003,47,8.6e-5,NA,455
BI,ta003,48,7.0e-5,NA,455
BI,ta003,49,7.5e-5,NA,455
BI,ta003,50,7.3e-5,NA,455
BI,ta003,51,8.1e-5,NA,455
BI,ta003,52,6.9e-5,NA,455
BI,ta003,53,0.00013,NA,455
BI,ta003,54,8.0e-5,NA,455
BI,ta003,55,7.6e-5,NA,455
BI,ta003,56,7.3e-5,NA,455
BI,ta003,57,7.3e-5,NA,455
BI,ta003,58,9.7e-5,NA,455
BI,ta003,59,9.0e-5,NA,455
BI,ta003,60,0.000142,NA,455
BI,ta003,61,0.000109,NA,455
BI,ta003,62,0.000139,NA,455
BI,ta003,63,8.0e-5,NA,455
BI,ta003,64,7.1e-5,NA,455
BI,ta003,65,7.5e-5,NA,455
BI,ta003,66,7.4e-5,NA,455
BI,ta003,67,8.0e-5,NA,455
BI,ta003,68,7.7e-5,NA,455
BI,ta003,69,7.8e-5,NA,455
BI,ta003,70,6.8e-5,NA,455
BI,ta003,71,8.3e-5,NA,455
BI,ta003,72,6.7e-5,NA,455
BI,ta003,73,0.000164,NA,455
BI,ta003,74,7.0e-5,NA,455
BI,ta003,75,9.3e-5,NA,455
BI,ta003,76,0.00013,NA,455
BI,ta003,77,7.8e-5,NA,455
BI,ta003,78,0.000132,NA,455
BI,ta003,79,9.7e-5,NA,455
BI,ta003,80,7.2e-5,NA,455
BI,ta003,81,0.000145,NA,455
BI,ta003,82,0.000729,NA,455
BI,ta003,83,0.000124,NA,455
BI,ta003,84,0.000176,NA,455
BI,ta003,85,0.000246,NA,455
BI,ta003,86,0.000105,NA,455
BI,ta003,87,9.7e-5,NA,455
BI,ta003,88,9.0e-5,NA,455
BI,ta003,89,0.000104,NA,455
BI,ta003,90,9.1e-5,NA,455
BI,ta003,91,0.000154,NA,455
BI,ta003,92,8.4e-5,NA,455
BI,ta003,93,8.2e-5,NA,455
BI,ta003,94,8.7e-5,NA,455
BI,ta003,95,8.4e-5,NA,455
BI,ta003,96,0.000103,NA,455
BI,ta003,97,0.000165,NA,455
BI,ta003,98,0.000101,NA,455
BI,ta003,99,8.4e-5,NA,455
BI,ta003,100,0.000176,NA,455
FI,ta004,1,5.9e-5,NA,1569
FI,ta004,2,7.4e-5,NA,1563
FI,ta004,3,8.4e-5,NA,1505
FI,ta004,4,9.2e-5,NA,1443
FI,ta004,5,6.3e-5,NA,1364
FI,ta004,6,0.00024,NA,1314
FI,ta004,7,0.000109,NA,1304
FI,ta004,8,4.7e-5,NA,1254
FI,ta004,9,4.2e-5,NA,1233
FI,ta004,10,6.1e-5,NA,1227
FI,ta004,11,5.5e-5,NA,1172
