p,instance,rep,time,iterations,value
0.05,ta004,1,0.000209,NA,1978
0.05,ta004,2,0.000127,NA,1978
0.05,ta004,3,7.8e-5,NA,1978
0.05,ta004,4,0.000115,NA,1978
0.05,ta004,5,0.000108,NA,1978
0.05,ta004,6,7.2e-5,NA,1978
0.05,ta004,7,6.7e-5,NA,1978
0.05,ta004,8,7.6e-5,NA,1978
0.05,ta004,9,6.6e-5,NA,1978
0.05,ta004,10,0.000158,NA,1978
0.05,ta004,11,6.9e-5,NA,1978
0.05,ta004,12,7.6e-5,NA,1978
0.05,ta004,13,6.5e-5,NA,1978
0.05,ta004,14,7.6e-5,NA,1978
0.05,ta004,15,6.5e-5,NA,1978
0.25,ta004,1,7.6e-5,NA,1978
0.25,ta004,2,6.2e-5,NA,1978
0.25,ta004,3,6.6e-5,NA,1978
0.25,ta004,4,6.4e-5,NA,1978
0.25,ta004,5,7.5e-5,NA,1978
0.25,ta004,6,0.000138,NA,1978
0.25,ta004,7,7.2e-5,NA,1978
0.25,ta004,8,5.3e-5,NA,1978
0.25,ta004,9,8.6e-5,NA,1978
0.25,ta004,10,6.3e-5,NA,1978
0.25,ta004,11,8.6e-5,NA,1978
0.25,ta004,12,6.6e-5,NA,1978
0.25,ta004,13,7.5e-5,NA,1978
0.25,ta004,14,6.3e-5,NA,1978
0.25,ta004,15,6.6e-5,NA,1978
0.5,ta004,1,0.000112,NA,1978
0.5,ta004,2,7.1e-5,NA,1978
0.5,ta004,3,6.6e-5,NA,1978
0.5,ta004,4,7.6e-5,NA,1978
0.5,ta004,5,6.6e-5,NA,1978
0.5,ta004,6,7.6e-5,NA,1978
0.5,ta004,7,6.5e-5,NA,1978
0.5,ta004,8,7.0e-5,NA,1978
0.5,ta004,9,6.5e-5,NA,1978
0.5,ta004,10,5.8e-5,NA,1978
0.5,ta004,11,6.3e-5,NA,1978
0.5,ta004,12,0.000125,NA,1978
0.5,ta004,13,6.4e-5,NA,1978
0.5,ta004,14,7.5e-5,NA,1978
0.5,ta004,15,6.5e-5,NA,1978
0.75,ta004,1,7.6e-5,NA,1978
